2017-07-19 21:53:02.409 INFO [main]com.lin.controller.test.responseSuccess():96 -输出结果：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}],"isError":false,"errorMsg":""}
2017-07-19 21:53:47.857 INFO [main]com.lin.controller.test.responseSuccess():86 -后端返回对象：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}]}
2017-07-19 21:53:47.863 INFO [main]com.lin.controller.test.responseSuccess():90 -后端返回数据：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}]}
2017-07-19 21:53:47.863 INFO [main]com.lin.controller.test.responseSuccess():94 -输出结果：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}],"isError":false,"errorMsg":""}
2017-07-19 21:54:44.593 INFO [main]com.lin.controller.test.responseSuccess():87 -后端返回对象：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}],"haha":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}]}
2017-07-19 21:54:44.597 INFO [main]com.lin.controller.test.responseSuccess():91 -后端返回数据：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}],"haha":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}]}
2017-07-19 21:54:44.597 INFO [main]com.lin.controller.test.responseSuccess():95 -输出结果：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}],"haha":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}],"isError":false,"errorMsg":""}
2017-07-19 22:16:19.259 INFO [main]com.lin.controller.test.responseSuccess():92 -后端返回对象：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}],"haha":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}]}
2017-07-19 22:16:56.516 INFO [main]com.lin.controller.test.responseSuccess():94 -后端返回对象：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}],"haha":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}]}
2017-07-19 22:16:56.516 INFO [main]com.lin.controller.test.responseSuccess():98 -后端返回数据：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}],"haha":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}]}
2017-07-19 22:16:56.516 INFO [main]com.lin.controller.test.responseSuccess():102 -输出结果：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}],"haha":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}],"isError":false,"errorMsg":""}
2017-07-19 22:27:28.748 INFO [main]com.lin.controller.test.responseSuccess():87 -后端返回对象：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}]}
2017-07-19 22:27:28.752 INFO [main]com.lin.controller.test.responseSuccess():91 -后端返回数据：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}]}
2017-07-19 22:27:28.752 INFO [main]com.lin.controller.test.responseSuccess():95 -输出结果：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}],"isError":false,"errorMsg":""}
2017-07-19 22:27:39.181 INFO [main]com.lin.controller.test.responseSuccess():87 -后端返回对象：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}],"haha":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}]}
2017-07-19 22:27:39.185 INFO [main]com.lin.controller.test.responseSuccess():91 -后端返回数据：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}],"haha":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}]}
2017-07-19 22:27:39.185 INFO [main]com.lin.controller.test.responseSuccess():95 -输出结果：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}],"haha":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}],"isError":false,"errorMsg":""}
